year,ssi_payout_y1,ssi_payout_y2,ssi_payout_y3,gap,year_basis
2013,2014,2015,2016,1,fiscal
2014,2015,2016,2017,1,fiscal
2015,2016,2017,2018,1,fiscal
2016,2017,2018,2019,1,fiscal
2017,2018,2019,2020,1,fiscal
2018,2019,2020,2021,1,fiscal
2019,2020,2021,2022,1,fiscal
2020,2021,2022,2023,1,fiscal
2021,2023,2024,2025,2,calendar
2022,2024,2025,2026,2,calendar
2023,2025,2026,2027,2,calendar
2024,2026,2027,2028,2,calendar
2025,2027,2028,2029,2,calendar
2026,2028,2029,2030,2,calendar
2027,2029,2030,2031,2,calendar
2028,2030,2031,2032,2,calendar
2029,2031,2032,2033,2,calendar
2030,2032,2033,2034,2,calendar
