FY,AY_1,AY_2,AY_3,status,year_basis,year_gap
2013,2012,2011,2010,incomplete,fiscal,1
2014,2013,2012,2011,incomplete,fiscal,1
2015,2014,2013,2012,incomplete,fiscal,1
2016,2015,2014,2013,complete,fiscal,1
2017,2016,2015,2014,complete,fiscal,1
2018,2017,2016,2015,complete,fiscal,1
2019,2018,2017,2016,complete,fiscal,1
2020,2019,2018,2017,complete,fiscal,1
2021,2020,2019,2018,complete,fiscal,1
2022,2020,2019,2018,complete,fiscal,2
2023,2021,2020,2019,complete,calendar,2
2024,2022,2021,2020,complete,calendar,2
2025,2023,2022,2021,incomplete,calendar,2
2026,2024,2023,2022,incomplete,calendar,2
2027,2025,2024,2023,incomplete,calendar,2
2028,2026,2025,2024,incomplete,calendar,2
2029,2027,2026,2025,incomplete,calendar,2
2030,2028,2027,2026,incomplete,calendar,2
2031,2029,2028,2027,incomplete,calendar,2
2032,2030,2029,2028,incomplete,calendar,2
2033,2031,2030,2029,incomplete,calendar,2
2034,2032,2031,2030,incomplete,calendar,2
2035,2033,2032,2031,incomplete,calendar,2
